geo,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,pays_coordonnées_latitude,pays_coordonnées_longitude,pays_coordonnées_name (nom),iso3,status,color_code,name,continent,region,iso_3166_1,french_sho
DK,"1947.908 ","1978.525 ","1964.476 ",1847.314,1896.036,1946.894,1991.014,1964.71,1907.442,"1804.441 ","2048.753 ","1912.994 ",56.26392,9.501785,Danemark,DNK,Member State,DNK,Denmark,Europe,Northern Europe,DK,Danemark
EE,"402.178 ","423.520 ","417.892 ",457.642,465.395,498.236,466.591,490.285,462.14,"467.154 ","511.934 ","455.451 ",58.595272,25.013607,Estonie,EST,Member State,EST,Estonia,Europe,Northern Europe,EE,Estonie
ES,"10221.484 ","10104.210 ","9667.769 ",8933.937,9511.993,9830.589,10132.767,10287.346,10346.442,"9558.346 ","10084.105 ","10073.944 ",40.463667,-3.74922,Espagne,ESP,Member State,ESP,Spain,Europe,Southern Europe,ES,Espagne
FI,"2869.159 ","3032.099 ","2908.404 ",2892.419,2739.31,2892.622,2962.161,3080.921,3017.291,"2777.294 ","3082.529 ","2971.921 ",61.92411,25.748151,Finlande,FIN,Member State,FIN,Finland,Europe,Northern Europe,FI,Finlande
FR,"21081.587 ","22596.139 ","23298.494 ",21421.58,22288.412,22403.786,22752.085,22647.373,22181.418,"20653.365 ","22000.170 ","20199.086 ",46.227638,2.213749,France,FRA,Member State,FRA,France,Europe,Western Europe,FR,France
HR,"786.568 ","758.306 ","740.881 ",693.717,763.679,780.992,818.061,832.935,835.886,"757.788 ","848.096 ","808.947 ",45.1,15.2,Croatie,HRV,Member State,HRV,Croatia,Europe,Southern Europe,HR,Croatie
HU,"3053.612 ","2353.881 ","2337.107 ",2114.78,2203.657,2183.456,2154.189,2098.672,2050.439,"2000.195 ","2074.148 ","1918.798 ",47.162494,19.503304,Hongrie,HUN,Member State,HUN,Hungary,Europe,Eastern Europe,HU,Hongrie
IE,"1454.291 ","1473.853 ","1510.840 ",1452.893,1567.222,1592.827,1600.322,1763.785,1803.573,"1714.293 ","1747.619 ","1866.620 ",53.41291,-8.24389,Irlande,IRL,Member State,IRL,Ireland,Europe,Northern Europe,IE,Irlande
IS,"301.744 ","324.883 ","333.381 ",363.777,396.585,422.665,399.349,511.896,529.921,"490.332 ","499.584 ",: ,64.963051,-19.020835,Islande,ISL,Member State,ISL,Iceland,Europe,Northern Europe,IS,Islande
IT,"15751.376 ","15930.534 ","15846.527 ",14666.679,15391.466,15439.966,18242.166,19002.194,18192.3,"16557.570 ","16805.552 ","16137.505 ",41.87194,12.56738,Italie,ITA,Member State,ITA,Italy,Europe,Southern Europe,IT,Italie
LT,"583.961 ","610.064 ","593.023 ",585.668,574.923,602.552,633.867,651.177,626.707,"576.205 ","646.668 ","623.744 ",55.169438,23.881275,Lituanie,LTU,Member State,LTU,Lithuania,Europe,Northern Europe,LT,Lituanie
LU,"339.836 ","383.672 ","399.689 ",353.432,396.759,399.966,449.066,460.683,519.37,"496.040 ","554.895 ","452.295 ",49.815273,6.129583,Luxembourg,LUX,Member State,LUX,Luxembourg,Europe,Western Europe,LU,Luxembourg
LV,"556.709 ","623.331 ","600.446 ",608.772,586.308,592.494,607.014,592.045,568.824,"550.364 ","600.830 ","572.603 ",56.879635,24.603189,Lettonie,LVA,Member State,LVA,Latvia,Europe,Northern Europe,LV,Lettonie
MD,"270.670 ","269.477 ","258.252 ",237.402,246.475,258.611,256.417,273.302,263.068,"245.099 ","281.123 ","256.361 ",47.411631,28.369885,Moldavie,MDA,Member State,MDA,"Moldova, Republic of",Europe,Eastern Europe,MD,République de Moldova
ME,"8.460 ","8.622 ","13.741 ",68.962,70.372,79.372,86.454,87.81,108.855,"89.757 ","101.082 ","109.635 ",42.708678,19.37439,Monténégro,MNE,Member State,MNE,Montenegro,Europe,Southern Europe,ME,Monténégro
MK,"206.178 ","228.654 ","201.851 ",196.034,211.872,212.935,214.63,210.231,211.521,"181.460 ","197.849 ","176.693 ",41.608635,21.745275,Macédoine du Nord,MKD,Member State,MKD,The former Yugoslav Republic of Macedonia,Europe,Southern Europe,MK,Macédoine du Nord
MT,"88.007 ","100.415 ","103.516 ",110.711,120.944,118.292,128.355,119.646,122.568,"106.366 ","112.144 ","127.723 ",35.937496,14.375416,Malte,MLT,Member State,MLT,Malta,Europe,Southern Europe,MT,Malte
NL,"7094.693 ","7344.965 ","7357.526 ",6502.125,6824.263,6841.615,6960.268,6937.046,6762.442,"6405.198 ","6624.036 ","6249.810 ",52.132633,5.291266,Pays-Bas,NLD,Member State,NLD,Netherlands,Europe,Western Europe,NL,Pays-Bas
PL,"8429.508 ","8363.910 ","8078.737 ",7788.309,7842.278,8502.869,8044.474,7928.559,7808.047,"7561.151 ","8393.796 ","8158.385 ",51.919438,19.145136,Pologne,POL,Member State,POL,Poland,Europe,Eastern Europe,PL,Pologne
PT,"1856.353 ","1843.417 ","1786.725 ",2284.617,2356.381,2289.624,2301.406,2380.554,2359.195,"2161.553 ","2191.033 ","2391.016 ",39.399872,-8.224454,Portugal,PRT,Member State,PRT,Portugal,Europe,Southern Europe,PT,Portugal
RO,"1774.282 ","1763.099 ","1784.900 ",1768.388,1761.969,1806.394,1858.427,1976.15,1962.137,"1834.290 ","1854.128 ","1908.080 ",45.943161,24.96676,Roumanie,ROU,Member State,ROU,Romania,Europe,Eastern Europe,RO,Roumanie
RS,"1046.670 ","834.956 ","803.644 ",772.362,874.646,886.372,939.812,891.441,863.097,"855.941 ","950.025 ","1001.664 ",44.016521,21.005859,Serbie,SRB,Member State,SRB,Serbia,Europe,Southern Europe,RS,Serbie
SE,"3864.910 ","4046.355 ","3958.982 ",3960.473,4022.234,4216.875,3991.218,4120.828,4024.796,"4007.556 ","4263.473 ","4213.808 ",60.128161,18.643501,Suède,SWE,Member State,SWE,Sweden,Europe,Northern Europe,SE,Suède
SI,"531.470 ","453.358 ","467.775 ",427.211,454.503,492.427,480.68,474.453,451.994,"418.343 ","421.098 ","415.016 ",46.151241,14.995463,Slovénie,SVN,Member State,SVN,Slovenia,Europe,Southern Europe,SI,Slovénie
SK,"1601.718 ","1451.245 ","1710.558 ",1233.318,1299.549,1308.325,1426.737,1314.726,1222.506,"1108.698 ","1408.624 ","1276.824 ",48.669026,19.699024,Slovaquie,SVK,Member State,SVK,Slovakia,Europe,Eastern Europe,SK,Slovaquie
