country,lat,long
US,39.9225,-74.0811
FR,43.234,6.0654
SG,1.2767,103.8468
US,40.7964,-74.0203
US,42.4415,-88.2336
FI,60.1719,24.9347
US,40.6063,-74.1774
NL,52.2961,4.9549
DE,50.4777,12.3649
CZ,50.5364,15.3653
GB,51.4964,-0.1224
FI,60.1719,24.9347
ES,43.5381,-5.6604
CA,49.1963,-122.8106
HK,22.2842,114.1759
IT,44.4847,11.328
DE,50.4777,12.3649
CZ,49.2105,16.5693
US,37.3931,-121.962
US,37.751,-97.822
CN,30.2943,120.1663
BG,42.6826,23.3223
DE,49.0078,8.4001
CA,50.8805,-113.9523
US,38.9779,-77.0806
US,40.7964,-74.0203
US,39.0469,-77.4903
ZA,-29.0,24.0
DE,50.9867,7.4072
CH,46.488,6.607
DE,50.3908,8.0641
CH,47.1449,8.1551
DE,50.4777,12.3649
GR,40.6439,22.9358
BR,-23.5475,-46.6361
QA,25.2925,51.5321
HU,47.5,19.0412
DE,50.4777,12.3649
US,40.7964,-74.0203
US,32.8242,-96.7507
ES,39.4676,-0.3771
US,45.8401,-119.705
NL,52.9492,6.4451
JM,18.0028,-76.7897
RU,62.0313,129.7325
US,46.7952,-96.8332
DE,51.2993,9.491
US,33.4656,-111.9956
RU,55.7386,37.6068
US,28.5879,-81.2264
CA,43.6547,-79.3623
US,34.0544,-118.244
DE,49.4527,11.0783
DE,50.1169,8.6837
US,29.522,-98.5974
SG,1.3667,103.8
US,40.789,-73.7262
MX,24.6529,-107.263
TH,13.7749,100.5197
US,39.0469,-77.4903
BR,-23.6301,-46.6378
US,39.0469,-77.4903
JP,35.6893,139.6899
DE,50.4777,12.3649
NL,51.8895,4.468
SG,1.3552,103.8859
FI,60.1719,24.9347
CA,43.6319,-79.3716
CA,43.6547,-79.3623
DE,51.1864,6.8624
DE,52.2576,10.3681
UA,50.4522,30.5287
DE,47.9126,11.4192
US,45.8401,-119.705
CL,-33.4521,-70.6536
AU,-37.8269,144.9881
CA,45.5075,-73.5887
DE,51.1864,6.8624
DE,49.5714,10.8845
US,37.7794,-122.4176
FR,49.3158,1.0263
US,32.8608,-79.9746
US,37.8107,-122.2479
US,40.7157,-74.0
US,37.7423,-87.1201
US,44.0645,-123.1461
IT,40.8366,14.4987
FR,48.9742,8.1851
FR,48.8582,2.3387
FR,48.8582,2.3387
US,41.2429,-73.2007
JP,35.688,139.7533
NL,52.3469,5.9741
CA,55.1808,-118.9103
HK,22.2578,114.1657
US,42.8899,-85.6148
US,33.8718,-118.3369
FR,48.9742,8.1851
US,38.8418,-76.9189
US,37.3931,-121.962
US,34.0609,-118.2414
MT,35.9167,14.4333
HK,22.2578,114.1657
US,47.9425,-122.2139
NL,51.3804,5.7655
US,33.8899,-118.4008
IT,44.4071,8.95
SG,1.3667,103.8
FI,60.1617,24.9181
CH,47.3643,8.5437
KR,37.5658,126.978
PL,51.1218,15.9206
CH,47.4622,8.2879
RU,52.0333,113.55
DE,52.5204,13.339
CA,43.7114,-79.4462
DE,49.0078,8.4001
DE,50.4777,12.3649
US,40.4566,-85.3733
NL,52.3891,4.6563
US,43.011,-71.4571
LT,54.6876,25.2806
AT,48.301,16.3448
NL,52.0874,5.1168
FR,48.8582,2.3387
US,39.9834,-105.143
US,39.3601,-84.3099
CA,46.2629,-63.0142
FI,60.1719,24.9347
NL,51.5218,4.6955
US,33.7838,-84.4455
US,42.3491,-71.5431
DE,49.3833,11.0403
LT,55.4167,24.0
US,30.2107,-97.9427
US,39.0469,-77.4903
DE,49.4527,11.0783
DE,50.4777,12.3649
US,37.751,-97.822
SG,1.2872,103.8507
MY,1.5249,103.6874
DE,50.1169,8.6837
JP,35.6893,139.6899
NL,52.3824,4.8995
NO,59.4116,5.2677
RU,55.7386,37.6068
ID,-6.2114,106.8446
US,29.7229,-98.0742
AU,-37.9094,145.0348
DE,51.2993,9.491
FR,48.8582,2.3387
US,39.9834,-105.143
ES,40.4327,-3.621
BR,-26.2659,-48.9987
KR,37.5639,127.0188
CN,23.0242,113.1334
IT,41.8905,12.5127
MY,3.1071,101.5526
SG,1.2872,103.8507
US,30.424,-97.7932
AU,-35.2896,149.1553
FR,48.8582,2.3387
SG,1.314,103.6839
US,41.0328,-81.4388
US,38.6273,-76.9859
CA,46.8049,-71.1755
US,40.1955,-92.5892
US,39.018,-77.539
ZA,-33.9258,18.4259
NL,51.6759,5.4015
NL,52.352,4.9392
DE,50.4777,12.3649
IE,53.3382,-6.2591
US,40.9451,-74.2531
US,45.8401,-119.705
PR,18.4723,-66.1052
US,41.1523,-96.0371
DE,50.1169,8.6837
US,41.2591,-95.8517
DE,50.4777,12.3649
US,37.7562,-122.4866
CA,45.3548,-75.5773
GB,50.9169,-1.422
DE,49.4423,11.0191
FI,60.1719,24.9347
FR,48.8582,2.3387
AT,48.2031,16.3527
FR,48.9742,8.1851
US,42.167,-76.8205
US,43.181,-76.1088
AU,-27.3513,152.969
US,47.6784,-122.1857
CH,47.3418,8.0315
NL,52.6958,6.1956
RO,44.4205,26.169
US,33.9246,-85.6114
RU,59.9417,30.3096
RU,56.1713,47.2835
VN,21.0184,105.8461
US,34.0634,-118.4667
ES,43.4558,-3.8434
SI,46.0503,14.5046
IN,19.0748,72.8856
US,43.5912,-71.7368
US,42.2532,-84.3877
CH,47.3528,8.5549
US,40.8364,-74.1403
DE,49.4527,11.0783
US,37.751,-97.822
US,38.8672,-77.6488
AU,-33.9062,151.2107
MY,2.5,112.5
GB,51.4964,-0.1224
