country,country_lo,name,gppd_idnr,capacity_m,latitude,longitude,primary_fu,other_fuel,other_fu_1,other_fu_2,commission,owner,source,url,geolocatio,wepp_id,year_of_ca,generation,generati_1,generati_2,generati_3,generati_4,estimated_,iso3,status,color_code,name_2,continent,region,iso_3166_1,french_sho
DEU,Germany,EVC / GLOBALFOUNDRIES,WRI1005671,34.299999999999997,51.127000000000002,13.715000000000000,Gas,,,,1998.000000000000000,Energieversorgungscenter Dresden-Wilschdorf GmbH & Co. KG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,87.426899028867865,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,EVE,WRI1005672,14.500000000000000,52.534999999999997,12.362600000000000,Waste,,,,2009.000000000000000,EEW Energy from Waste Premnitz GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,123.233572507552879,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,EZ1,WRI1005673,18.500000000000000,51.048900000000003,12.110400000000000,Coal,,,,1993.000000000000000,Südzucker AG Mannheim/Ochsenfurt  Werk Zeitz,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,110.331453606542624,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Ebern - TUP Solar Power Plant,WRI1030234,7.100000000000000,50.082400000000000,10.768599999999999,Solar,,,,,,CEE PVF Ebern-TUP GmbH & Co KG,http://www.cee-holding.de,Industry About,,,,,,,,65.759065239276040,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Eckendorf Solar Power Plant,WRI1030284,1.600000000000000,49.445500000000003,12.228500000000000,Solar,,,,,,Juwi Solar GmbH,http://www.juwi.com,Industry About,,,,,,,,14.818944279273477,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Ecklak Solar Power Plant,WRI1030041,3.800000000000000,53.924599999999998,9.273999999999999,Solar,,,,,,M�hring Energie GmbH,http://www.moehring-energie.de,Industry About,,,,,,,,35.194992663274505,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Eckolst�dt Solar Power Plant,WRI1030185,8.500000000000000,51.043500000000002,11.628299999999999,Solar,,,,,,Belectric,http://www.belectric.com,Industry About,,,,,,,,78.725641483640345,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Eggebek Solar Power Plant,WRI1030026,83.200000000000003,54.623300000000000,9.345700000000001,Solar,,,,,,M�hring Energie GmbH,http://www.moehring-energie.de,Industry About,"1092280",,,,,,,770.585102522220723,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Egger Kraftwerk Briilon 1,WRI1005651,18.000000000000000,51.406700000000001,8.601200000000000,Biomass,,,,1990.000000000000000,Egger Kraftwerk Brilon GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,471.340542499849050,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Egger Kraftwerk Briilon 2,WRI1005652,13.500000000000000,51.408499999999997,8.599900000000000,Gas,,,,1996.000000000000000,Egger Kraftwerk Brilon GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,34.410003990953825,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Egglfing,WRI1005653,40.399999999999999,48.320599999999999,13.316100000000000,Hydro,,,,1944.000000000000000,Innwerk AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,"1013536",,,,,,,102.957462365160580,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Eging am See Solar Power Plant,WRI1030324,2.200000000000000,48.715899999999998,13.255400000000000,Solar,,,,,,Solarparc GmbH,http://www.solarparc.de,Industry About,,,,,,,,20.376048384001027,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DEU,Germany,Egling Solar Power Plant,WRI1030374,6.200000000000000,48.182800000000000,11.006300000000000,Solar,,,,,,GP Joule GmbH,http://www.gp-joule.eu,Industry About,"1089698",,,,,,,57.423409082184719,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
